county,population,sdi_score,fpl_100_score,sing_parent_fam_score,black_score,dropout_score,no_car_score,rent_occup_score,crowding_score,nonemp_score,unemp_score,highneeds_score,hisp_score,foreignb_score,lingisol_score,percnt_ltfpl100,percnt_singlparntfly,percnt_black,percnt_dropout,percnt_hhnocar,percnt_rentoccup,percnt_crowding,percnt_nonemp,percnt_unemp,percnt_highneeds,percnt_hispanic,percnt_frgnborn,percnt_lingisol
5125,113833,13,13,28,41,43,8,10,35,8,8,88,22,14,15,0.090741284,0.1544487,0.058313493,0.11398461,0.038487907,0.23033641,0.019054824,0.053734079,0.048182137,0.41909641,0.040682402,0.025071817,0.007872527
5127,10870,66,85,27,1,92,69,16,67,90,90,57,40,26,19,0.20104003,0.15407555,0.001655934,0.22711632,0.084586933,0.25770652,0.033785451,0.11605158,0.11041522,0.40377185,0.074885003,0.047838088,0.010110974
5129,7965,36,94,1,2,82,21,3,44,19,19,96,8,2,2,0.23600508,0.067025438,0.002762084,0.18058884,0.049810845,0.19325347,0.022383355,0.063474789,0.062192552,0.43691149,0.019460138,0.008286253,0.000945776
5131,127273,71,92,52,43,81,55,65,47,17,17,59,56,52,61,0.23187791,0.18321791,0.061670583,0.17826383,0.072127312,0.39280742,0.023518022,0.062347583,0.057176292,0.40467343,0.13177972,0.098402649,0.044151757
5133,17268,68,91,35,33,99,35,22,81,72,72,67,84,70,84,0.2208174,0.16173068,0.047023397,0.3075408,0.058271606,0.27522632,0.051522635,0.097824633,0.095247336,0.40763262,0.32186705,0.17060459,0.086748973
5135,17055,49,94,8,2,78,20,8,74,70,70,98,8,2,1,0.23615353,0.12494352,0.00351803,0.16840476,0.048677545,0.22453573,0.040517725,0.096221134,0.091405861,0.44884199,0.0195837,0.006684257,0
5137,12512,45,95,3,1,89,39,13,37,33,33,95,6,1,5,0.2456197,0.11038759,0.000399616,0.20887409,0.061065733,0.24076235,0.01983664,0.074215032,0.071303584,0.43134591,0.017023657,0.003117008,0.002528199
5139,40633,71,87,62,93,76,41,27,80,73,73,80,19,11,28,0.2040908,0.19819899,0.32788619,0.16561776,0.062530234,0.29100144,0.048258346,0.10040793,0.06484472,0.41380158,0.036079049,0.020795904,0.015058056
5141,17002,54,89,26,5,82,31,10,49,91,91,97,15,12,2,0.21353887,0.15240818,0.005293495,0.180627,0.056403548,0.23142898,0.024422154,0.11812662,0.10680261,0.44147748,0.029231856,0.022762029,0.00058148
5143,216432,72,85,49,27,76,27,83,72,18,18,67,61,56,68,0.20067906,0.17829412,0.03243513,0.16485025,0.053657521,0.45341524,0.038325053,0.062942043,0.056366146,0.40729651,0.16047534,0.11405892,0.055125915
5145,78660,50,80,31,32,77,25,37,38,31,31,89,22,13,14,0.18959406,0.1564711,0.044762269,0.16749328,0.052135766,0.31444702,0.020099306,0.071940266,0.070947409,0.42030257,0.040795829,0.023684211,0.007141885
5147,6983,92,94,82,88,98,93,63,48,96,96,90,1,2,1,0.2348827,0.21810934,0.26765001,0.26543459,0.1439368,0.38680866,0.024390243,0.13194445,0.097195357,0.42360017,0.004582558,0.006301017,0
5149,21835,67,78,37,19,96,35,40,82,51,51,61,67,55,78,0.18637843,0.16446511,0.020196931,0.24248868,0.058410302,0.32418367,0.053857163,0.082274988,0.085357673,0.40526676,0.18987864,0.11055645,0.07089892
6001,1584983,62,30,42,63,56,82,88,87,52,52,45,72,91,88,0.12500201,0.16943929,0.11318734,0.13055341,0.10125656,0.47282106,0.064746015,0.083518714,0.069050752,0.40064216,0.22597593,0.31357688,0.10031365
6003,1131,39,65,56,10,35,3,6,44,91,91,7,48,19,35,0.1748879,0.18666667,0.009725906,0.10471204,0.027932961,0.2122905,0.022346368,0.11893204,0.080555558,0.38019451,0.095490716,0.033598587,0.019553073
6005,36995,20,32,7,20,44,11,13,15,99,99,22,56,31,25,0.12751392,0.12327164,0.022219218,0.11636909,0.040933572,0.24043088,0.012710951,0.1428252,0.14515395,0.39086363,0.12931477,0.055304769,0.013859964
6007,222564,75,90,57,13,48,52,71,63,92,92,89,59,42,43,0.21852888,0.18952966,0.013555652,0.1201448,0.069610164,0.41359386,0.030228088,0.12192825,0.11870923,0.42150572,0.15186644,0.076207295,0.024684124
6009,44767,14,31,4,6,19,11,6,32,91,91,87,52,28,14,0.12641053,0.11371871,0.005785512,0.083568603,0.0410299,0.21007752,0.018106312,0.11878936,0.11414606,0.41876829,0.11095227,0.051913239,0.007253599
6011,21396,76,46,68,6,100,28,60,91,84,84,25,98,85,85,0.14970258,0.20297675,0.00612264,0.318216,0.05440712,0.37826586,0.077806488,0.10756285,0.0928431,0.39273697,0.57379884,0.24513927,0.087998852
